,Username,WineName,Vintage,Type,Dry-Sweet,Light-Bold,Soft-Acidic,Smooth-Tannic,VivinoRating,BlendedScore,Similarity,WeightRange
134,Jessye,Bel Star Prosecco DOC (Sugar: 9g/L),NV,Sparkling ,8.0,3.0,7.0,0.0,0.733,0.713,0.693,0.5 <= Weight < 0.75
135,Ezequiel,Y Series Shiraz-Viognier,2017,Red,4.0,9.0,7.0,6.0,0.874,0.896,0.919,>=0.9
136,Ezequiel,Organic Shiraz,2018,Red,5.0,10.0,6.0,6.0,0.686,0.81,0.933,>=0.9
137,Ezequiel,Eden Valley Viognier,2017,Red,5.0,9.0,7.0,6.0,0.674,0.809,0.944,>=0.9
138,Ezequiel,Eden Valley Viognier,2016,Red,5.0,9.0,7.0,6.0,0.674,0.809,0.944,>=0.9
139,Ezequiel,Eden Valley Viognier,2017,Red,5.0,9.0,7.0,6.0,0.658,0.801,0.944,>=0.9
140,Ezequiel,Shiraz,2018,Red,2.0,10.0,5.0,5.0,1.0,0.918,0.835,0.8 <= Weight < 0.9
141,Ezequiel,Scrubby Rise Shiraz,2017,Red,3.0,9.0,5.0,6.0,0.923,0.902,0.882,0.8 <= Weight < 0.9
142,Ezequiel,Cabernet Shiraz,2017,Red,2.0,10.0,5.0,6.0,0.971,0.902,0.833,0.8 <= Weight < 0.9
143,Ezequiel,Cabernet Sauvignon,2017,Red,2.0,8.0,6.0,7.0,0.941,0.894,0.847,0.8 <= Weight < 0.9
144,Ezequiel,Old Winery Shiraz,2017,Red,2.0,10.0,6.0,6.0,0.929,0.885,0.841,0.8 <= Weight < 0.9
145,Ezequiel,Full Berry Pinotage,2019,Red,1.0,8.0,5.0,7.0,0.923,0.859,0.796,0.75 <= Weight < 0.8
146,Ezequiel,Merlot  ,2018,Red,1.0,7.0,2.0,3.0,0.941,0.858,0.774,0.75 <= Weight < 0.8
147,Ezequiel,Cote de Nuits Villages,2013,Red,1.0,5.0,8.0,4.0,0.566,0.68,0.794,0.75 <= Weight < 0.8
148,Ezequiel,Harem La Menace Rouge (Single vineyard - Upper Yarra),2014,Red,1.0,8.0,6.0,8.0,0.544,0.668,0.792,0.75 <= Weight < 0.8
149,Ezequiel,Cote de Nuits Villages,2016,Red,1.0,5.0,8.0,4.0,0.501,0.648,0.794,0.75 <= Weight < 0.8
150,Ezequiel,"Pinot Noir ""Selection""",2016,Red,1.0,2.0,8.0,3.0,0.784,0.749,0.714,0.5 <= Weight < 0.75
151,Ezequiel,"Pinot Noir ""Selection""",2018,Red,1.0,2.0,8.0,3.0,0.784,0.749,0.714,0.5 <= Weight < 0.75
152,Ezequiel,Beaujolais Villages,2016,Red,1.0,1.0,10.0,2.0,0.857,0.737,0.618,0.5 <= Weight < 0.75
153,Ezequiel,Beaujolais Villages,2018,Red,1.0,1.0,10.0,2.0,0.788,0.703,0.618,0.5 <= Weight < 0.75
154,Ezequiel,Fleurie,2015,Red,2.0,1.0,10.0,3.0,0.64,0.664,0.688,0.5 <= Weight < 0.75
155,Antony,Bel Star Prosecco DOC (Sugar: 9g/L),NV,Sparkling ,8.0,3.0,7.0,0.0,0.733,0.842,0.951,>=0.9
156,Antony,Bel Star Cult Prosecco DOC (Sugar: 16g/L),NV,Sparkling ,8.0,3.0,8.0,0.0,0.671,0.812,0.953,>=0.9
157,Antony,Cartizze Valdobbiadane Superiore di Cartizze  DOGG (Sugar: 23g/l),2016,Sparkling ,8.0,2.0,7.0,0.0,0.416,0.684,0.953,>=0.9
158,Antony,Campogrande Bianco Orvieto Classico DOC,2017,White,3.0,4.0,8.0,0.0,0.861,0.854,0.848,0.8 <= Weight < 0.9
159,Antony,Campogrande Bianco Orvieto Classico DOC,2018,White,3.0,4.0,8.0,0.0,0.838,0.843,0.848,0.8 <= Weight < 0.9
160,Antony,Le Poggere Est! Est! Est! di Montefiascone DOP,2017,White ,3.0,5.0,8.0,0.0,0.77,0.799,0.828,0.8 <= Weight < 0.9
161,Antony,Le Poggere Est! Est! Est! di Montefiascone DOP,2018,White ,3.0,5.0,8.0,0.0,0.77,0.799,0.828,0.8 <= Weight < 0.9
162,Antony,Muller Thurgau Trentino DOC,2016,White,3.0,4.0,4.0,0.0,0.736,0.79,0.843,0.8 <= Weight < 0.9
163,Antony,Albaclara Sauvignon Blanc,2017,White,2.0,4.0,8.0,0.0,0.757,0.778,0.799,0.75 <= Weight < 0.8
164,Antony,Chardonnay,2017,White,4.0,6.0,4.0,0.0,0.736,0.76,0.784,0.75 <= Weight < 0.8
165,Antony,Chardonnay,2014,White,4.0,6.0,4.0,0.0,0.716,0.75,0.784,0.75 <= Weight < 0.8
166,Antony,Albaclara Sauvignon Blanc,2018,White,2.0,4.0,8.0,0.0,0.696,0.747,0.799,0.75 <= Weight < 0.8
167,Antony,Le Maestrelle Rosso Toscano IGT,2016,Red ,2.0,6.0,5.0,4.0,0.711,0.742,0.774,0.75 <= Weight < 0.8
168,Antony,Moscata d'Asti DOCG,2018,Sparkling ,0.0,3.0,4.0,0.0,1.0,0.819,0.638,0.5 <= Weight < 0.75
169,Antony,Chardonnay,2019,White,2.0,6.0,6.0,0.0,0.805,0.771,0.737,0.5 <= Weight < 0.75
170,Antony,La Minuette Rose IGP Pays D'OC,2018,Rose,1.0,5.0,7.0,0.0,0.798,0.757,0.716,0.5 <= Weight < 0.75
171,Antony,Sauvignon Blanc  ,2018,White,1.0,5.0,8.0,0.0,0.78,0.751,0.722,0.5 <= Weight < 0.75
172,Antony,Sauvignon Blanc,2019,White,1.0,5.0,8.0,0.0,0.78,0.751,0.722,0.5 <= Weight < 0.75
